x(dtmb),y(dtmb),z(dtmb),psi(dtmb),theta(dtmb),phi(dtmb)
1.870346e+03,6.554082e+02,2.705417e+00,5.917407e-01,-1.042442e-01,-2.003342e+00
1.878839e+03,6.608196e+02,3.593280e+00,5.930136e-01,-9.755942e-02,-2.009456e+00
1.887321e+03,6.662486e+02,4.426257e+00,5.938148e-01,-8.925305e-02,-2.016849e+00
1.895793e+03,6.716955e+02,5.203383e+00,5.941073e-01,-7.936072e-02,-2.025741e+00
1.904256e+03,6.771590e+02,5.915931e+00,5.938698e-01,-6.795104e-02,-2.036403e+00
1.912714e+03,6.826333e+02,6.529521e+00,5.931561e-01,-5.539788e-02,-2.048991e+00
1.921168e+03,6.881162e+02,7.034738e+00,5.919501e-01,-4.181326e-02,-2.063699e+00
1.929617e+03,6.936097e+02,7.445149e+00,5.901784e-01,-2.706263e-02,-2.081078e+00
1.938064e+03,6.991111e+02,7.748199e+00,5.878647e-01,-1.142384e-02,-2.101347e+00
1.946511e+03,7.046170e+02,7.929739e+00,5.850577e-01,4.718444e-03,-2.124456e+00
1.954960e+03,7.101230e+02,7.973250e+00,5.818249e-01,2.097723e-02,-2.150072e+00
1.963413e+03,7.156275e+02,7.879222e+00,5.781963e-01,3.717704e-02,-2.178409e+00
1.971872e+03,7.211273e+02,7.638570e+00,5.742029e-01,5.327281e-02,-2.209282e+00
1.980334e+03,7.266227e+02,7.267410e+00,5.698799e-01,6.895768e-02,-2.243413e+00
1.988799e+03,7.321144e+02,6.782179e+00,5.652952e-01,8.389889e-02,-2.281492e+00
1.997267e+03,7.376008e+02,6.187852e+00,5.605120e-01,9.792992e-02,-2.323850e+00
2.005738e+03,7.430788e+02,5.477765e+00,5.556146e-01,1.110122e-01,-2.370136e+00
2.014215e+03,7.485455e+02,4.648430e+00,5.506868e-01,1.230763e-01,-2.420199e+00
2.022697e+03,7.540000e+02,3.711122e+00,5.458421e-01,1.338739e-01,-2.474585e+00
